eigen,0.3,0.2,0.1,0.05,w
1,3756,3457,2820,1908,3487,
2,3854,3825,3441,2864,3749,
3,3945,3900,3708,3240,3866,
4,3956,3927,3749,3435,3888,
5,3959,3947,3852,3547,3912,
page,0.3,0.2,0.1,0.05,w
1,3711,3453,2870,953,3485,
2,3895,3761,3432,1845,3744,
3,3941,3859,3598,3284,3857,
4,3952,3920,3709,3513,3889,
5,3958,3946,3858,3608,3910,
degree,0.3,0.2,0.1,0.05,w
1,3643,3470,2871,1764,3583,
2,3901,3830,3460,2889,3737,
3,3946,3904,3642,3245,3849,
4,3954,3932,3790,3460,3833,
5,3960,3944,3834,3594,3911,
